Task ID	Locality	Task	Information	Requirements	Pts	Comp%
259	Asgarnia: Burthorpe	Defeat Nex, the Angel of Death.	Kill Nex: Angel of Death.	N/A	150	<0.1%
260	Asgarnia: Burthorpe	Defeat Nex, the Angel of Death. (50 times)	Kill Nex: Angel of Death 50 times.	N/A	150	<0.1%
267	Asgarnia: Port Sarim	Kill a living wyvern.	Kill a wyvern.	96 Slayer	150	<0.1%
261	Asgarnia: Burthorpe	Complete all of the Combat Achievements for God Wars Dungeon bosses, including Nex.	Complete all of the Combat Achievements for God Wars Dungeon bosses, including Nex.	N/A	150	<0.1%
262	Asgarnia: Burthorpe	Unlock all the prayers from the Praesul Codex.	Unlock all the prayers from the Praesul codex.	99 Prayer	150	<0.1%
271	Desert: Menaphos	Enter Menaphos.	Enter Menaphos.	N/A	10	50.5%
272	Desert: General	Catch a whirligig at Het's Oasis.	Catch a whirligig at Het's Oasis.	1 Hunter	10	47.1%
274	Desert: General	Search the Grand Gold Chest in room 1 of Pyramid Plunder in Sophanem.	Search the grand gold chest in room 1 of Pyramid Plunder in Sophanem.	21 Thieving	10	4%
275	Desert: General	Search the Grand Gold Chest in room 2 of Pyramid Plunder in Sophanem.	Search the grand gold chest in room 2 of Pyramid Plunder in Sophanem.	31 Thieving	10	4%
276	Desert: General	Search the Grand Gold Chest in room 3 of Pyramid Plunder in Sophanem.	Search the grand gold chest in room 3 of Pyramid Plunder in Sophanem.	41 Thieving	10	3.9%
277	Desert: General	Mine a gem rock at the Al Kharid mine.	Mine a gem rock at the Al Kharid mine. A common gem rock can be mined with level 1 Mining.	1 Mining	10	72.6%
279	Desert: General	Kill a crocodile.	Kill a crocodile.	N/A	10	36.2%
280	Desert: General	Create a spirit kalphite pouch at the obelisk south west of Pollnivneach.	Create a spirit kalphite pouch at the obelisk south west of Pollnivneach.	25 Summoning	10	1.3%
281	Desert: Menaphos	Squish 10 corrupted scarabs.	Squish 10 corrupted scarabs.	N/A	10	13.3%
282	Desert: General	Sell a pyramid top to Simon.	Hand Simon Templeton a pyramid top.	30 Agility	10	11.5%
283	Desert: General	Use any of the magic carpets in the desert.	Use any of the magic carpets in the desert.	1,000 gp	10	49.7%
284	Desert: General	Harvest a rose at Het's Oasis.	Harvest a rose at Het's Oasis.	30 Farming	10	26.6%
273	Desert: General	Clear the Fort debris at the Kharid-et Dig Site.	Clear the fort debris at the Kharid-et Dig Site.	12 Archaeology	30	60.1%
278	Desert: General	Complete the quest: One Piercing Note.	Complete One Piercing Note.	Quest: One Piercing Note	30	20.9%
285	Desert: General	Complete a lap of the Het's Oasis agility course.	Complete a lap of the Het's Oasis agility course.	65 Agility	30	8.6%
286	Desert: General	Defeat the Kalphite Queen.	Defeat the Kalphite Queen.	N/A	30	7.2%
287	Desert: General	Defeat the Kalphite Queen. (100 times)	Defeat the Kalphite Queen 100 times.	N/A	30	<0.1%
288	Desert: General	Defeat 100 bosses in the Dominion Tower.	Defeat 100 bosses in the Dominion Tower.	Completion of at least 20 various quests	30	<0.1%
289	Desert: General	Complete the task set: Easy Desert.	Easy desert tasks.	Achievement: Easy Desert	30	0.3%
290	Desert: General	Complete the task set: Medium Desert.	Medium desert tasks.	Achievement: Medium Desert	30	<0.1%
291	Desert: Menaphos	Steal from the lamp stall in Menaphos.	Steal from the lamp stall in Menaphos.	46 Thieving	30	9.3%
292	Desert: General	Buy some runes from Ali Morrisane.	Buy some runes from Ali Morrisane.	Completion of the runes portion of Ali the Trader	30	0.5%
293	Desert: Menaphos	Catch a catfish.	Catch a raw catfish.	60 Fishing	30	12.1%
294	Desert: General	Restore a Pontifex signet ring.	Restore a pontifex signet ring.	58 Archaeology	30	2.2%
295	Desert: General	Search the Grand Gold Chest in room 4 of Pyramid Plunder in Sophanem.	Search the Grand Gold Chest in room 4 of Pyramid Plunder in Sophanem.	51 Thieving	30	3.3%
296	Desert: General	Search the Grand Gold Chest in room 5 of Pyramid Plunder in Sophanem.	Search the Grand Gold Chest in room 5 of Pyramid Plunder in Sophanem.	61 Thieving	30	2.3%
297	Desert: General	Search the Grand Gold Chest in room 6 of Pyramid Plunder in Sophanem.	Search the Grand Gold Chest in room 6 of Pyramid Plunder in Sophanem.	71 Thieving	30	1.7%
298	Desert: General	Complete the quest: Smoking Kills.	Complete Smoking Kills.	Quest: Smoking Kills	30	4.5%
299	Desert: General	Complete the quest: Desert Treasure.	Complete Desert Treasure.	Quest: Desert Treasure	30	0.5%
300	Desert: General	Fully repair the statue of Het.	Repair the statue of Het at Het's Oasis.	200 pieces of Het	30	0.9%
301	Desert: General	Defeat the Kalphite King.	Defeat the Kalphite King.	N/A	80	4.5%
302	Desert: General	Defeat the Kalphite King. (100 times)	Defeat the Kalphite King 100 times.	N/A	80	0.1%
303	Desert: General	Equip a drygore weapon.	Equip a drygore weapon.	90 Attack	80	1.4%
304	Desert: General	Become an honorary druid at the Garden of Kharid.	Purchase the Druid/Druidess title for 50,000 Crux Eqal favour	50 Farming	80	0.7%
305	Desert: General	Deploy a dreadnip.	Deploy a dreadnip.	450 Dominion Tower kills	80	<0.1%
306	Desert: General	Complete the task set: Hard Desert.	Complete the Hard Desert achievements.	Achievement: Hard Desert	80	<0.1%
307	Desert: General	Defeat Avaryss and Nymora.	Defeat the Twin Furies.	80 Ranged	80	1%
308	Desert: General	Defeat Gregorovic.	Defeat Gregorovic.	80 Prayer	80	2.5%
309	Desert: General	Defeat Vindicta and Gorvek.	Defeat Vindicta.	80 Attack	80	11.2%
310	Desert: General	Defeat Helwyr.	Defeat Helwyr.	80 Magic	80	2.2%
311	Desert: General	Defeat Avaryss and Nymora. (100 times)	Defeat the Twin Furies 100 times.	80 Ranged	80	<0.1%
312	Desert: General	Defeat Gregorovic. (100 times)	Defeat Gregorovic 100 times.	80 Prayer	80	<0.1%
313	Desert: General	Defeat Vindicta and Gorvek. (100 times)	Defeat Vindicta 100 times.	80 Attack	80	1.6%
314	Desert: General	Defeat Helwyr. (100 times)	Defeat Helwyr 100 times.	80 Magic	80	0.1%
315	Desert: General	Equip a Dragon Rider lance.	Equip a Dragon Rider lance.	85 Attack	80	4%
316	Desert: General	Equip a wand or orb of the Cywir elders.	Equip a wand or orb of the Cywir elders.	85 Magic	80	0.3%
317	Desert: General	Equip a shadow glaive.	Equip a shadow glaive.	85 Ranged	80	<0.1%
318	Desert: General	Equip a blade of Nymora or Avaryss.	Equip a blade of Nymora or Avaryss.	85 Attack	80	0.1%
319	Desert: Menaphos	Slay a combination of 500 corrupted or devourer creatures.	Slay a combination of 500 corrupted creatures or soul devourers.	88 Slayer	80	0.1%
320	Desert: General	Defeat the Magister.	Defeat the Magister.	115 Slayer	80	<0.1%
321	Desert: General	Defeat the Magister. (50 times)	Defeat the Magister 50 times.	115 Slayer	80	<0.1%
322	Desert: Menaphos	Find an Off-hand khopesh of the Kharidian in Shifting Tombs.	Find an off-hand khopesh of the Kharidian in Shifting Tombs.	50 Dungeoneering, 50 Agility, 50 Thieving, or 50 Construction	80	<0.1%
323	Desert: General	Search the Grand Gold Chest in room 7 of Pyramid Plunder in Sophanem.	Search the Grand Gold Chest in room 7 of Pyramid Plunder in Sophanem.	81 Thieving	80	1.4%
324	Desert: General	Search the Grand Gold Chest in room 8 of Pyramid Plunder in Sophanem.	Search the Grand Gold Chest in room 8 of Pyramid Plunder in Sophanem.	91 Thieving	80	1.3%
325	Desert: Menaphos	Complete the quest: Beneath Scabaras' Sands.	Complete Beneath Scabaras' Sands.	Quest: Beneath Scabaras' Sands	80	<0.1%
326	Desert: General	Kill a desert strykewyrm wearing a Full Slayer Helm and wielding an ancient staff.	Kill a desert strykewyrm wearing a full Slayer helm and wielding an ancient staff.	77 Slayer, 50 Magic, 20 Defence, 55 Crafting	80	<0.1%
328	Desert: General	Defeat Telos, the Warden.	Defeat Telos, the Warden.	80 Attack, 80 Prayer, 80 Magic, 80 Ranged	80	0.6%
327	Desert: General	Complete the task set: Elite Desert.	Complete the Elite Desert achievements.	Achievement: Elite Desert	150	<0.1%
329	Desert: General	Defeat Telos, the Warden at 100% enrage.	Defeat Telos, the Warden at 100% enrage.	80 Attack, 80 Prayer, 80 Magic, 80 Ranged	150	0.1%
330	Desert: General	Defeat Telos, the Warden at 500% enrage.	Defeat Telos, the Warden at 500% enrage.	80 Attack, 80 Prayer, 80 Magic, 80 Ranged	150	<0.1%
331	Desert: Menaphos	Craft some Soul runes.	Craft some soul runes.	90 Runecrafting	150	<0.1%
332	Desert: General	Defeat a Camel Warrior.	Defeat a camel warrior.	96 Slayer	150	<0.1%
333	Desert: General	Escape Kharid-et by boat.	Complete the Aquatic Escape achievement.	93 Archaeology	150	<0.1%
334	Desert: General	Defeat the Kalphite King solo.	Kill the Kalphite King solo.	N/A	150	<0.1%
335	Desert: General	Cast Ice Barrage in the desert.	Cast Ice Barrage in the desert.	94 Magic	150	<0.1%
337	Desert: General	Craft a Zaros godsword, Seren godbow or staff of Sliske.	Craft a Zaros godsword, Seren godbow or staff of Sliske.	92 Smithing	150	<0.1%
1112	Desert: Menaphos	Defeat Amascut, the Devourer.	Defeat Amascut, the Devourer.	N/A	150	<0.1%
336	Desert: General	Defeat Telos, the Warden at 1,000% enrage.	Defeat Telos, the Warden at 1000% enrage.	80 Attack, 80 Prayer, 80 Magic, 80 Ranged	150	<0.1%
338	Desert: General	Complete all of the Combat Achievements for the Heart of Gielinor bosses (excluding Telos).	Complete all of the Combat Achievements for the Heart of Gielinor bosses (excluding Telos).	N/A	150	<0.1%
1113	Desert: Menaphos	Defeat Amascut, the Devourer. (100 times)	Defeat Amascut, the Devourer 100 times.	N/A	150	<0.1%
339	Fremennik: Lunar Isles	Switch to the Lunar Spellbook at the astral altar.	Switch to the Lunar Spellbook at the astral altar.	Completion of Lunar Diplomacy	10	0.6%
340	Fremennik: Mainland	Defeat a Rock Crab in the Fremennik Province.	Defeat a Rock Crab in the Fremennik Province.	N/A	10	36.7%
341	Fremennik: Mainland	Defeat a Cockatrice in the Fremennik Province.	Defeat a cockatrice in the Fremennik Province.	25 Slayer	10	18.9%
342	Fremennik: Mainland	Defeat a Troll in the Fremennik Province.	Defeat a troll in the Fremennik Province.	N/A	10	10.6%
343	Fremennik: Mainland	Deposit an item with Peer the Seer.	Deposit an item with Peer the Seer.	Completion of the easy Fremennik achievements	10	0.6%
344	Fremennik: Mainland	Use the Bank on Jatizso or Neitiznot.	Use the Bank on Jatizso or Neitiznot.	Partial completion of The Fremennik Isles	10	1.5%
346	Fremennik: Mainland	Catch a Sapphire Glacialis.	Catch a Sapphire Glacialis.	25 Hunter	10	6.6%
347	Fremennik: Lunar Isles	Cast Moonclan Teleport.	Cast Moonclan Teleport.	69 Magic	30	0.7%
348	Fremennik: Mainland	Move Your House to Rellekka.	Move your player-owned house's location to Rellekka by speaking to an estate agent.	30 Construction	30	12.9%
349	Fremennik: Lunar Isles	Craft 50 Astral Runes.	Craft 50 astral runes.	40 Runecrafting	30	0.3%
350	Fremennik: Mainland	Complete the Penguin Agility Course.	Complete the Penguin Agility Course.	30 Agility	30	0.3%
351	Fremennik: Mainland	Catch a Snowy Knight.	Catch a Snowy Knight.	35 Hunter	30	5.9%
352	Fremennik: Mainland	Defeat a Kurask in the Fremennik Province.	Defeat a Kurask in the Fremennik Province.	70 Slayer	30	5.8%
353	Fremennik: Mainland	Defeat a Dagannoth in the Fremennik Province.	Defeat a dagannoth in the Fremennik Province.	N/A	30	22.8%
354	Fremennik: Mainland	Equip a Helm of Neitiznot.	Equip a Helm of Neitiznot.	55 Defence	30	1%
355	Fremennik: Mainland	Defeat a Jelly in the Fremennik Province.	Defeat a jelly in the Fremennik Province.	52 Slayer	30	17.1%
356	Fremennik: Mainland	Complete the quest: Throne of Miscellania.	Complete Throne of Miscellania.	Quest: Throne of Miscellania	30	1.6%
357	Fremennik: Mainland	Complete the quest: Royal Trouble.	Complete Royal Trouble.	Quest: Royal Trouble	30	1.3%
358	Fremennik: Mainland	Equip a Granite Shield.	Equip a granite shield.	55 Defence, 55 Strength	30	0.4%
359	Fremennik: Mainland	Equip a full set of Graahk, Larupia or Kyatt hunter gear.	Equip a full set of graahk, larupia or kyatt hunter gear.	31 Hunter	30	1.7%
360	Fremennik: Mainland	Defeat any of the Dagannoth Kings.	Defeat any of the Dagannoth Kings 1 time.	N/A	30	7%
361	Fremennik: Mainland	Defeat any of the Dagannoth Kings.	Defeat any of the Dagannoth Kings 100 times.	N/A	30	0.4%
362	Fremennik: Mainland	Complete the task set: Easy Fremennik.	Complete the Easy Fremennik achievements.	Achievement: Easy Fremennik Province	30	0.9%
363	Fremennik: Mainland	Ride a mine cart into Keldagrim.	Ride a mine cart into Keldagrim.	Completion of The Giant Dwarf	30	2.7%
364	Fremennik: Mainland	Travel to the Mammoth Iceberg.	Travel to the Mammoth Iceberg.	N/A	30	11.4%
365	Fremennik: Mainland	Steal from the fish stall in Rellekka.	Steal from the fish stall in Rellekka.	42 Thieving	30	2%
366	Fremennik: Mainland	Harvest 100 sparkling energy from Sparkling Wisps.	Harvest 100 sparkling energy from sparkling wisps.	40 Divination	30	26.8%
367	Fremennik: Mainland	Climb to the top of the lighthouse.	Climb to the top of the lighthouse.	Completion of Horror from the Deep	30	1.6%
368	Fremennik: Mainland	Chop 10 Artic[sic] Pine trees.	Chop 10 arctic pine trees.	54 Woodcutting	30	1.4%
369	Fremennik: Mainland	Kill 25 Yaks.	Kill 25 yaks.	Partial completion of The Fremennik Isles	30	1.1%
370	Fremennik: Mainland	Interact with a pet rock.	Interact with a pet rock.	Partial completion of The Fremennik Trials	30	2.2%
383	Fremennik: Mainland	Complete the task set: Medium Fremennik.	Complete the Medium Fremennik achievements.	Achievement: Medium Fremennik Province	30	<0.1%
371	Fremennik: Lunar Isles	Cast Fertile Soil.	Cast Fertile Soil.	83 Magic	80	0.1%
372	Fremennik: Mainland	Build a Gilded Altar.	Build a gilded altar in your player-owned house's chapel.	75 Construction	80	0.2%
373	Fremennik: Mainland	Trap a Sabre-Toothed Kyatt.	Trap a sabre-toothed kyatt.	55 Hunter	80	1.8%
374	Fremennik: Mainland	Defeat all the Dagannoth Kings without leaving a solo boss instance.	Defeat all the Dagannoth Kings without leaving a solo boss instance.	N/A	80	0.2%
375	Fremennik: Mainland	Equip a Berserker, Warrior, Seers, or Archers Ring.	Equip a Berserker, Warrior, Seers, or Archers Ring.	N/A	80	1.5%
376	Fremennik: Mainland	Use the Special Attack of a Dragon Axe.	Use the special attack of a dragon hatchet.	60 Attack	80	0.5%
